loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
72.47059631347656,0.602173924446106,0.8046709299087524,0.614860475063324,76.88440704345703,0.7432950139045715,0.7432950139045715,1.0,0.001
13.154061317443848,0.8214975595474243,0.9283614754676819,0.822858989238739,56.85595703125,0.7432950139045715,0.7432950139045715,1.0,0.001
4.200894832611084,0.8852657079696655,0.9542118310928345,0.8880937099456787,11.875303268432617,0.7432950139045715,0.7432950139045715,1.0,0.001
3.2692019939422607,0.8954106569290161,0.9587521553039551,0.8980519771575928,6.740225315093994,0.795976996421814,0.7846309542655945,1.0,0.001
2.970682144165039,0.9009661674499512,0.9631432294845581,0.901106059551239,0.6494665145874023,0.9645593762397766,0.9695044755935669,0.9832473993301392,0.001
2.406412124633789,0.9067632555961609,0.964113175868988,0.9083225131034851,41.661136627197266,0.3965517282485962,1.0,0.18814432621002197,0.001
2.3009676933288574,0.9094203114509583,0.9651843905448914,0.910865306854248,141.38217163085938,0.2662835121154785,1.0,0.012886597774922848,0.001
2.0162100791931152,0.918599009513855,0.9698216915130615,0.9190770387649536,117.89842224121094,0.2969348728656769,1.0,0.054123710840940475,0.001
2.069042921066284,0.9123188257217407,0.9691935181617737,0.910865306854248,4.389878273010254,0.8773946166038513,1.0,0.8350515365600586,0.0005
2.083270788192749,0.9091787338256836,0.9668049812316895,0.9089726805686951,1.5232452154159546,0.9521072506904602,0.9932065010070801,0.9420102834701538,0.0005
